[2026-02-10 23:31:02,822] [INFO] PARQUET OK | A/a1.sql | clsYymm=202312 | rows=124 | 0.00MB | 0.08s
[2026-02-10 23:31:02,858] [INFO] PARQUET OK | A/a1.sql | clsYymm=202403 | rows=2 | 0.00MB | 0.12s
[2026-02-10 23:31:02,906] [INFO] PARQUET OK | A/a2.sql | clsYymm=202312 | rows=1802 | 0.02MB | 0.05s
[2026-02-10 23:31:02,953] [INFO] PARQUET OK | A/a2.sql | clsYymm=202403 | rows=1647 | 0.02MB | 0.09s
[2026-02-10 23:31:02,991] [INFO] PARQUET OK | B/rate.sql | - | rows=185 | 0.01MB | 0.04s
[2026-02-10 23:42:50,522] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a1_202312.parquet
[2026-02-10 23:42:50,531] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a1_202403.parquet
[2026-02-10 23:42:50,531] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a2_202312.parquet
[2026-02-10 23:42:50,531] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a2_202403.parquet
[2026-02-10 23:42:50,532] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/B/rate.parquet
[2026-02-10 23:43:02,616] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a1_202312.parquet
[2026-02-10 23:43:02,616] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a1_202403.parquet
[2026-02-10 23:43:02,616] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a2_202312.parquet
[2026-02-10 23:43:02,617] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a2_202403.parquet
[2026-02-10 23:43:02,617] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/B/rate.parquet
[2026-02-10 23:45:43,908] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a1_202312.parquet
[2026-02-10 23:45:43,908] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a1_202403.parquet
[2026-02-10 23:45:43,909] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a2_202312.parquet
[2026-02-10 23:45:43,909] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a2_202403.parquet
[2026-02-10 23:45:43,909] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/B/rate.parquet
[2026-02-10 23:47:29,061] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a1_202312.parquet
[2026-02-10 23:47:29,061] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a1_202403.parquet
[2026-02-10 23:47:29,062] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a2_202312.parquet
[2026-02-10 23:47:29,062] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a2_202403.parquet
[2026-02-10 23:47:29,062] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/B/rate.parquet
[2026-02-10 23:47:44,447] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a1_202312.parquet
[2026-02-10 23:47:44,447] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a1_202403.parquet
[2026-02-10 23:47:44,447] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a2_202312.parquet
[2026-02-10 23:47:44,447] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a2_202403.parquet
[2026-02-10 23:47:44,448] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/B/rate.parquet
[2026-02-10 23:47:49,717] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a1_202312.parquet
[2026-02-10 23:47:49,717] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a1_202403.parquet
[2026-02-10 23:47:49,718] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a2_202312.parquet
[2026-02-10 23:47:49,718] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a2_202403.parquet
[2026-02-10 23:47:49,718] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/B/rate.parquet
[2026-02-10 23:47:56,099] [INFO] PARQUET OK | A/a1.sql | clsYymm=202312 | rows=124 | 0.00MB | 0.07s
[2026-02-10 23:47:56,137] [INFO] PARQUET OK | A/a1.sql | clsYymm=202403 | rows=2 | 0.00MB | 0.11s
[2026-02-10 23:47:56,185] [INFO] PARQUET OK | A/a2.sql | clsYymm=202312 | rows=1802 | 0.02MB | 0.05s
[2026-02-10 23:47:56,231] [INFO] PARQUET OK | A/a2.sql | clsYymm=202403 | rows=1647 | 0.02MB | 0.09s
[2026-02-10 23:47:56,268] [INFO] PARQUET OK | B/rate.sql | - | rows=185 | 0.01MB | 0.04s
[2026-02-10 23:50:04,293] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a1_202312.parquet
[2026-02-10 23:50:04,293] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a1_202403.parquet
[2026-02-10 23:50:04,293] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a2_202312.parquet
[2026-02-10 23:50:04,294] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a2_202403.parquet
[2026-02-10 23:50:04,294] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/B/rate.parquet
[2026-02-10 23:50:22,284] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a1_202312.parquet
[2026-02-10 23:50:22,284] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a1_202403.parquet
[2026-02-10 23:50:22,285] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a2_202312.parquet
[2026-02-10 23:50:22,285] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a2_202403.parquet
[2026-02-10 23:50:22,285] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/B/rate.parquet
[2026-02-10 23:59:27,241] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a1_202312.parquet
[2026-02-10 23:59:27,241] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a1_202403.parquet
[2026-02-10 23:59:27,241] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a2_202312.parquet
[2026-02-10 23:59:27,242] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/A/a2_202403.parquet
[2026-02-10 23:59:27,242] [INFO] Parquet exists, skip export | C:/work/batch_runner/data/parquet/local/B/rate.parquet
